theory_id,theory_name,number_of_collected_papers
T1424,Cellular Senescence,4414
T6362,Cellular Senescence Theory,3118
T4829,Dysbiosis,2167
T9512,Free Radical Theory of Aging,2035
T7305,Mitochondrial Theory of Aging,1858
T0651,Mitochondrial Dysfunction,1772
T5430,Telomere Attrition,834
T0697,Chronic Inflammation,822
T1507,Epigenetic Alterations,749
T1455,Telomere Theory of Aging,721
T2849,Caloric Restriction Theory,634
T9826,Immunosenescence Theory,505
T0259,DNA Damage Theory,443
T7381,Epigenetic Clock Theory,408
T3497,Altered Intercellular Communication,400
T2021,Inflammaging Theory,374
T5125,Immunosenescence,339
T4880,Loss of Proteostasis,320
T8390,Deregulated Nutrient Sensing,318
T7395,Glycation Theory,298
T7008,Rate of Living Theory,190
T5029,Extracellular Matrix Theory,188
T3891,Stem Cell Exhaustion,180
T7379,Genomic Instability,173
T2936,Microbiome Theory of Aging,142
T2546,Disabled Macroautophagy,138
T5854,Antagonistic Pleiotropy Theory,112
T5077,Mitochondrial-Lysosomal Axis,92
T9545,Disposable Soma Theory,85
T9580,Programmed Aging Theory,78
T2620,Wear and Tear Theory,42
T9996,Network Theory of Aging,41
T6004,Cross-Linking Theory,33
T0486,Circadian Rhythm Theory,23
T1746,Protein Acetylation Theory,10
T0917,Neuroendocrine Theory,4
T0775,Entropy Theory of Aging,1
