theory_id,paper_url,paper_name,paper_year
T9512,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC34102/,A simple method to assess the oxidative susceptibility of low density lipoproteins,2001
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC37548/,Non-enzymatic glycosylation of a type I collagen matrix: effects on osteoblastic development and oxidative stress,2001
T0775,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC88955/,"Frailty, fitness and late-life mortality in relation to chronological and biological age",2002
T9545,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC100787/,The equivalence of numbers: The social value of avoiding health decline: An experimental web-based study,2002
T0486,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC113771/,Impact of UVA exposure on psychological parameters and circulating serotonin and melatonin,2002
T5029,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC116615/,How hyperglycemia promotes atherosclerosis: molecular mechanisms,2002
T1424,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC128900/,Bone loss: Therapeutic approaches for preventing bone loss in inflammatory arthritis,2001
T3891,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC138717/,Mammary cancer and epithelial stem cells: a problem or a solution?,2002
T5854,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC138869/,Aging in the post-genomic era: simple or complex?,2000
T7379,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC139368/,Revealing the intricacies of cancer,2002
T9512,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC139384/,Oxidative stress responses - what have genome-scale studies taught us?,2002
T9512,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC140143/,Intimal redox stress: Accelerated atherosclerosis in metabolic syndrome and type 2 diabetes mellitus.  Atheroscleropathy,2002
T9512,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC140319/,Analysis of nuclear fiber cell compaction in transparent and cataractous diabetic human lenses by scanning electron microscopy,2003
T0651,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC150511/,Oxygen-sensing mechanisms and the regulation of redox-responsive transcription factors in development and pathophysiology,2002
T9512,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC151307/,"A search for doxycycline-dependent mutations that increase Drosophila melanogaster life span identifies the VhaSFD, Sugar baby, filamin, fwd and Cctl genes",2003
T9512,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC153445/,Science review: Redox and oxygen-sensitive transcription factors in the regulation of oxidant-mediated lung injury: role for nuclear factor-κB,2002
T5430,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC154132/,Complex roles for telomeres and telomerase in breast carcinogenesis,2002
T9545,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC156025/,PopMod: a longitudinal population model with two interacting disease states,2003
T5029,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC161821/,"Multiple luteinizing hormone receptor (LHR) protein variants, interspecies reactivity of anti-LHR mAb clone 3B5, subcellular localization of LHR in human placenta, pelvic floor and brain, and possible role for LHR in the development of abnormal pregnancy, pelvic floor disorders and Alzheimer's disease",2003
T5029,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC179885/,Estrogen in the adult male reproductive tract: A review,2003
T9580,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC185249/,"Growth factor signaling in lung morphogenetic centers: automaticity, stereotypy and symmetry",2003
T0697,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC193735/,"Ageing, autoimmunity and arthritis: T-cell senescence and contraction of T-cell repertoire diversity – catalysts of autoimmunity and chronic inflammation",2003
T5430,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC193738/,"Ageing, autoimmunity and arthritis: An introduction",2003
T9545,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC222917/,The development and preliminary validation of a Preference-Based Stroke Index (PBSI),2003
T1455,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7615773/,Dysregulated bidirectional epithelial–mesenchymal crosstalk: A core determinant of lung fibrosis progression,2024
T2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7616710/,Hematopoietic aging promotes cancer by fueling IL-1α-driven emergency myelopoiesis,2024
T5854,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7616751/,Modifiable risk factors and inflammation-related proteins in polymyalgia rheumatica: genome-wide meta-analysis and Mendelian randomization,2024
T2620,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7617408/,Imperfect Wound Healing Sets the Stage for Chronic Diseases,2024
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7617592/,"Cells of all trades: On the importance of spatial positioning of senescent cells in development, healing and aging",2025
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7617754/,Decoding the Liver-Heart Axis in Cardiometabolic Diseases,2025
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7617900/,The human placenta and its role in reproductive outcomes revisited,2025
T2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7618201/,CD4 T cell therapy counteracts inflammaging and senescence by preserving gut barrier integrity,2025
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9934591/,Late-life isoleucine restriction promotes physiological and molecular signatures of healthy aging,2024
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10081252/,Proteostasis and lysosomal repair deficits in transdifferentiated neurons of Alzheimer’s disease,2025
T7381,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10327104/,Multi-omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10461994/,An eQTL-based Approach Reveals Candidate Regulators of LINE-1 RNA Levels in Lymphoblastoid Cells,2023
T0259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10491179/,SOD1 is a synthetic lethal target in PPM1D-mutant leukemia cells,2024
T5854,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10592935/,Inversions Can Accumulate Balanced Sexual Antagonism: Evidence from Simulations and Drosophila Experiments,2025
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10636051/,Enduring questions in regenerative biology and the search for answers,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10637260/,Cancer-prone Phenotypes and Gene Expression Heterogeneity at Single-cell Resolution in Cigarette-smoking Lungs,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10640762/,Mitochondrial dysfunction in Parkinson’s disease – a key disease hallmark with therapeutic potential,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10641101/,Transcriptional co-activators: emerging roles in signaling pathways and potential therapeutic targets for diseases,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10643419/,Targeting mitochondrial shape: at the heart of cardioprotection,2023
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10645585/,The CRTC-1 transcriptional domain is required for COMPASS complex-mediated longevity in C. elegans,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10645594/,"Spatial and single-cell profiling of the metabolome, transcriptome and epigenome of the aging mouse liver",2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10649871/,Tumor cell-induced macrophage senescence plays a pivotal role in tumor initiation followed by stable growth in immunocompetent condition,2023
