theory_id,paper_url,paper_name,paper_year,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,C1,C2,C3,C4
T1455,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7615773/,Dysregulated bidirectional epithelial–mesenchymal crosstalk: A core determinant of lung fibrosis progression,2024,No,True,True,True,True,True,True,True,True,True,True,True,True
T2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7616710/,Hematopoietic aging promotes cancer by fueling IL-1α-driven emergency myelopoiesis,2024,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T5854,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7616751/,Modifiable risk factors and inflammation-related proteins in polymyalgia rheumatica: genome-wide meta-analysis and Mendelian randomization,2024,No,True,True,True,True,True,True,True,True,True,True,True,True
T2620,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7617408/,Imperfect Wound Healing Sets the Stage for Chronic Diseases,2024,No,True,True,True,True,True,True,True,True,True,True,True,True
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7617592/,"Cells of all trades: On the importance of spatial positioning of senescent cells in development, healing and aging",2025,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7617754/,Decoding the Liver-Heart Axis in Cardiometabolic Diseases,2025,No,True,True,True,True,True,True,True,True,True,True,True,True
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7617900/,The human placenta and its role in reproductive outcomes revisited,2025,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7618201/,CD4 T cell therapy counteracts inflammaging and senescence by preserving gut barrier integrity,2025,"Yes, but not shown",False,False,False,False,False,False,False,False,True,True,False,True
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9934591/,Late-life isoleucine restriction promotes physiological and molecular signatures of healthy aging,2024,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10081252/,Proteostasis and lysosomal repair deficits in transdifferentiated neurons of Alzheimer’s disease,2025,"Yes, quantitatively shown",False,False,False,False,False,False,False,False,False,False,False,False
T7381,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10327104/,Multi-omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation,2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10461994/,An eQTL-based Approach Reveals Candidate Regulators of LINE-1 RNA Levels in Lymphoblastoid Cells,2023,"Yes, but not shown",False,False,False,False,False,False,False,False,True,True,False,True
T0259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10491179/,SOD1 is a synthetic lethal target in PPM1D-mutant leukemia cells,2024,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T5854,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10592935/,Inversions Can Accumulate Balanced Sexual Antagonism: Evidence from Simulations and Drosophila Experiments,2025,"Yes, but not shown",False,False,False,False,False,False,False,False,False,False,False,False
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10636051/,Enduring questions in regenerative biology and the search for answers,2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10637260/,Cancer-prone Phenotypes and Gene Expression Heterogeneity at Single-cell Resolution in Cigarette-smoking Lungs,2023,"Yes, but not shown",False,False,False,False,False,False,False,False,False,False,False,False
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10640762/,Mitochondrial dysfunction in Parkinson’s disease – a key disease hallmark with therapeutic potential,2023,"Yes, but not shown",False,False,False,False,False,False,False,False,False,False,False,False
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10641101/,Transcriptional co-activators: emerging roles in signaling pathways and potential therapeutic targets for diseases,2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10643419/,Targeting mitochondrial shape: at the heart of cardioprotection,2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10645585/,The CRTC-1 transcriptional domain is required for COMPASS complex-mediated longevity in C. elegans,2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10645594/,"Spatial and single-cell profiling of the metabolome, transcriptome and epigenome of the aging mouse liver",2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10649871/,Tumor cell-induced macrophage senescence plays a pivotal role in tumor initiation followed by stable growth in immunocompetent condition,2023,No,True,True,False,False,True,False,False,False,False,False,False,False
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10652502/,"Diabetic microvascular disease in non-classical beds: the hidden impact beyond the retina, the kidney, and the peripheral nerves",2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10652587/,Microvesicles-hydrogel breaks the cycle of cellular senescence by improving mitochondrial function to treat osteoarthritis,2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10654458/,The Role of mRNA Quality Control in the Aging of Caenorhabditis elegans,2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10655607/,The Role of Traditional Chinese Medicine Natural Products in β-Amyloid Deposition and Tau Protein Hyperphosphorylation in Alzheimer’s Disease,2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10656444/,GDF11 slows excitatory neuronal senescence and brain ageing by repressing p21,2023,"Yes, but not shown",False,False,False,False,False,False,False,False,True,True,False,False
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10658171/,Hypoxia-induced signaling in the cardiovascular system: pathogenesis and therapeutic targets,2023,No,True,True,True,True,True,True,True,True,True,True,True,True
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10658738/,Does the ketogenic diet improve neurological disorders by influencing gut microbiota? A systematic review,2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10659633/,Establishment of a 6-signature risk model associated with cellular senescence for predicting the prognosis of breast cancer,2023,No,True,True,True,True,True,True,True,True,True,True,True,True
T1455,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10660189/,Deficit Accumulation Index and Biological Markers of Aging in Survivors of Childhood Cancer,2023,No,True,True,True,True,True,True,True,True,True,True,True,True
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10663940/,Molecular monitoring of lung allograft health: is it ready for routine clinical use?,2023,No,True,True,True,True,True,True,True,True,True,True,True,True
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10663950/,The impact of aging and oxidative stress in metabolic and nervous system disorders: programmed cell death and molecular signal transduction crosstalk,2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T0259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10665130/,Hallmarks of ageing in human skeletal muscle and implications for understanding the pathophysiology of sarcopenia in women and men,2023,"Yes, but not shown",True,True,True,True,True,True,True,True,True,True,True,True
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10665435/,Mid-old cells are a potential target for anti-aging interventions in the elderly,2023,"Yes, quantitatively shown",True,True,True,True,True,True,True,True,True,True,True,True
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10665825/,Therapeutic potential for KCC2-targeted neurological diseases,2023,No,False,False,False,True,True,True,True,True,True,False,True,False
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10666387/,A review of nitric oxide and oxidative stress in typical ovulatory women and in the pathogenesis of ovulatory dysfunction in PCOS,2023,"Yes, quantitatively shown",True,True,True,True,True,True,True,True,True,True,True,True
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10668383/,"Ectopic and visceral fat deposition in aging, obesity, and idiopathic pulmonary fibrosis: an interconnected role",2023,No,True,True,True,True,True,True,True,True,True,True,True,True
